column                                min        max       mean        std
----------------------------------------------------------------------
nprocs                             0.3010     5.4240     1.6272     0.7346
POSIX_OPENS                        0.3010     9.9100     3.3888     1.1995
LUSTRE_STRIPE_SIZE                 5.1175     9.0309     6.1270     0.3774
LUSTRE_STRIPE_WIDTH                0.3010     2.3962     0.4835     0.5389
POSIX_FILENOS                      0.0000 7748157072.0000 82663.1551 7390035.9121
POSIX_MEM_ALIGNMENT                0.9542     0.9542     0.9542     0.0000
POSIX_FILE_ALIGNMENT               0.0000     7.2247     5.5034     1.4608
POSIX_READS                        0.0000    12.4445     3.7205     1.5585
POSIX_WRITES                       0.0000    11.1101     3.7870     1.7759
POSIX_SEEKS                        0.0000    11.1101     3.6158     1.5129
POSIX_STATS                        0.0000     8.8120     2.7041     1.2578
POSIX_BYTES_READ                   0.0000    16.5392     7.7055     2.2779
POSIX_BYTES_WRITTEN                0.0000    14.8251     6.7246     2.6727
POSIX_CONSEC_READS                 0.0000    12.4445     3.4832     1.6505
POSIX_CONSEC_WRITES                0.0000    11.1101     3.6965     1.8683
POSIX_SEQ_READS                    0.0000    12.4445     3.6145     1.5447
POSIX_SEQ_WRITES                   0.0000    11.1101     3.7695     1.7886
POSIX_RW_SWITCHES                  0.0000     9.4369     0.4648     0.9923
POSIX_MEM_NOT_ALIGNED              0.0000    12.1435     2.9755     1.8396
POSIX_FILE_NOT_ALIGNED             0.0000    12.4445     4.1332     1.7081
POSIX_SIZE_READ_0_100              0.0000    12.4445     2.9453     1.7248
POSIX_SIZE_READ_100_1K             0.0000     9.7244     2.0634     1.7320
POSIX_SIZE_READ_1K_10K             0.0000     9.7346     2.9801     1.6032
POSIX_SIZE_READ_100K_1M            0.0000     9.2444     0.7427     1.2412
POSIX_SIZE_WRITE_0_100             0.0000    11.1101     3.5288     1.8594
POSIX_SIZE_WRITE_100_1K            0.0000    10.4250     2.4009     1.7197
POSIX_SIZE_WRITE_1K_10K            0.0000     9.2603     0.6170     1.1688
POSIX_SIZE_WRITE_10K_100K          0.0000     8.3047     0.4952     1.0746
POSIX_SIZE_WRITE_100K_1M           0.0000     8.2001     0.6388     1.2370
POSIX_STRIDE1_STRIDE               0.0000    14.1484     2.6043     3.2239
POSIX_STRIDE2_STRIDE               0.0000    13.2470     2.0333     3.0200
POSIX_STRIDE3_STRIDE               0.0000    13.2470     1.8322     2.9500
POSIX_STRIDE4_STRIDE               0.0000    13.2470     1.6953     2.9831
POSIX_STRIDE1_COUNT                0.0000     9.4895     0.7474     1.1377
POSIX_STRIDE2_COUNT                0.0000     9.1278     0.4840     0.8838
POSIX_STRIDE3_COUNT                0.0000     8.9865     0.4461     0.8601
POSIX_STRIDE4_COUNT                0.0000     9.0678     0.3371     0.7704
POSIX_ACCESS1_ACCESS               0.3010     9.3319     3.3794     1.6429
POSIX_ACCESS2_ACCESS               0.0000     9.3319     2.9823     1.8105
POSIX_ACCESS3_ACCESS               0.0000     9.1332     2.5418     1.2634
POSIX_ACCESS4_ACCESS               0.0000     9.0200     2.4412     1.2444
POSIX_ACCESS1_COUNT                0.3010    12.4067     3.3402     1.4633
POSIX_ACCESS2_COUNT                0.0000    11.3653     2.6559     1.3271
POSIX_ACCESS3_COUNT                0.0000    10.2614     2.4397     1.3115
POSIX_ACCESS4_COUNT                0.0000    11.3562     2.2736     1.3242
tag                                0.0000     6.7492     1.8567     0.9743
